common_name,scientific_name,start_s,end_s,confidence,label,file_index,filename,file_stem,recording_date,recording_start_time,absolute_timestamp,weather_temp_c,weather_conditions,weather_summary,readable_filename,recording_id,datetime,hour
Lesser Spotted Woodpecker,Dryobates minor,37101.0,37104.0,0.3398704528808594,Dryobates minor_Lesser Spotted Woodpecker,2,245AAA0563ED3DA7_20251014_000000.WAV,245AAA0563ED3DA7_20251014_000000,2025-10-14,00:00:00,2025-10-14 10:18:21,11,"Light rain, passing clouds",Light rain overnight,2025-10-14_Night_LightRain_11C,245AAA0563ED3DA7_20251014_000000.WAV,2025-10-14 10:18:21,10.0
Little Bunting,Emberiza pusilla,28917.0,28920.0,0.5060760378837585,Emberiza pusilla_Little Bunting,2,245AAA0563ED3DA7_20251014_000000.WAV,245AAA0563ED3DA7_20251014_000000,2025-10-14,00:00:00,2025-10-14 08:01:57,11,"Light rain, passing clouds",Light rain overnight,2025-10-14_Night_LightRain_11C,245AAA0563ED3DA7_20251014_000000.WAV,2025-10-14 08:01:57,8.0
Manx Shearwater,Puffinus puffinus,24270.0,24273.0,0.3178710043430328,Puffinus puffinus_Manx Shearwater,4,245AAA0563ED3DA7_20251015_000000.WAV,245AAA0563ED3DA7_20251015_000000,2025-10-15,00:00:00,2025-10-15 06:44:30,10-11,"Passing clouds, broken clouds","Partly cloudy, unsettled",2025-10-15_Night_PartlyCloudy_10-11C,245AAA0563ED3DA7_20251015_000000.WAV,2025-10-15 06:44:30,6.0
Meadow Pipit,Anthus pratensis,29796.0,29799.0,0.3538739681243896,Anthus pratensis_Meadow Pipit,4,245AAA0563ED3DA7_20251015_000000.WAV,245AAA0563ED3DA7_20251015_000000,2025-10-15,00:00:00,2025-10-15 08:16:36,10-11,"Passing clouds, broken clouds","Partly cloudy, unsettled",2025-10-15_Night_PartlyCloudy_10-11C,245AAA0563ED3DA7_20251015_000000.WAV,2025-10-15 08:16:36,8.0
Mistle Thrush,Turdus viscivorus,24924.0,24927.0,0.4820084571838379,Turdus viscivorus_Mistle Thrush,2,245AAA0563ED3DA7_20251014_000000.WAV,245AAA0563ED3DA7_20251014_000000,2025-10-14,00:00:00,2025-10-14 06:55:24,11,"Light rain, passing clouds",Light rain overnight,2025-10-14_Night_LightRain_11C,245AAA0563ED3DA7_20251014_000000.WAV,2025-10-14 06:55:24,6.0
Northern Lapwing,Vanellus vanellus,27507.0,27510.0,0.334258884191513,Vanellus vanellus_Northern Lapwing,4,245AAA0563ED3DA7_20251015_000000.WAV,245AAA0563ED3DA7_20251015_000000,2025-10-15,00:00:00,2025-10-15 07:38:27,10-11,"Passing clouds, broken clouds","Partly cloudy, unsettled",2025-10-15_Night_PartlyCloudy_10-11C,245AAA0563ED3DA7_20251015_000000.WAV,2025-10-15 07:38:27,7.0
Ortolan Bunting,Emberiza hortulana,33510.0,33513.0,0.2784981727600097,Emberiza hortulana_Ortolan Bunting,2,245AAA0563ED3DA7_20251014_000000.WAV,245AAA0563ED3DA7_20251014_000000,2025-10-14,00:00:00,2025-10-14 09:18:30,11,"Light rain, passing clouds",Light rain overnight,2025-10-14_Night_LightRain_11C,245AAA0563ED3DA7_20251014_000000.WAV,2025-10-14 09:18:30,9.0
Pink-footed Goose,Anser brachyrhynchus,33015.0,33018.0,0.9439055919647216,Anser brachyrhynchus_Pink-footed Goose,4,245AAA0563ED3DA7_20251015_000000.WAV,245AAA0563ED3DA7_20251015_000000,2025-10-15,00:00:00,2025-10-15 09:10:15,10-11,"Passing clouds, broken clouds","Partly cloudy, unsettled",2025-10-15_Night_PartlyCloudy_10-11C,245AAA0563ED3DA7_20251015_000000.WAV,2025-10-15 09:10:15,9.0
Red-breasted Flycatcher,Ficedula parva,28923.0,28926.0,0.901174008846283,Ficedula parva_Red-breasted Flycatcher,2,245AAA0563ED3DA7_20251014_000000.WAV,245AAA0563ED3DA7_20251014_000000,2025-10-14,00:00:00,2025-10-14 08:02:03,11,"Light rain, passing clouds",Light rain overnight,2025-10-14_Night_LightRain_11C,245AAA0563ED3DA7_20251014_000000.WAV,2025-10-14 08:02:03,8.0
Red-throated Loon,Gavia stellata,27099.0,27102.0,0.3042365610599518,Gavia stellata_Red-throated Loon,4,245AAA0563ED3DA7_20251015_000000.WAV,245AAA0563ED3DA7_20251015_000000,2025-10-15,00:00:00,2025-10-15 07:31:39,10-11,"Passing clouds, broken clouds","Partly cloudy, unsettled",2025-10-15_Night_PartlyCloudy_10-11C,245AAA0563ED3DA7_20251015_000000.WAV,2025-10-15 07:31:39,7.0
Redwing,Turdus iliacus,25530.0,25533.0,0.7830180525779724,Turdus iliacus_Redwing,2,245AAA0563ED3DA7_20251014_000000.WAV,245AAA0563ED3DA7_20251014_000000,2025-10-14,00:00:00,2025-10-14 07:05:30,11,"Light rain, passing clouds",Light rain overnight,2025-10-14_Night_LightRain_11C,245AAA0563ED3DA7_20251014_000000.WAV,2025-10-14 07:05:30,7.0
Reed Bunting,Emberiza schoeniclus,35949.0,35952.0,0.2931766510009765,Emberiza schoeniclus_Reed Bunting,4,245AAA0563ED3DA7_20251015_000000.WAV,245AAA0563ED3DA7_20251015_000000,2025-10-15,00:00:00,2025-10-15 09:59:09,10-11,"Passing clouds, broken clouds","Partly cloudy, unsettled",2025-10-15_Night_PartlyCloudy_10-11C,245AAA0563ED3DA7_20251015_000000.WAV,2025-10-15 09:59:09,9.0
